value,timestamp
71.95,2020-03-28T00:24:41.000Z
76.09,2020-03-28T00:29:41.000Z
77.87,2020-03-28T00:34:42.000Z
78.60,2020-03-28T00:39:42.000Z
78.74,2020-03-28T00:44:42.000Z
76.15,2020-03-28T00:49:42.000Z
77.33,2020-03-28T00:54:42.000Z
79.30,2020-03-28T00:59:42.000Z
81.09,2020-03-28T01:04:42.000Z
80.36,2020-03-28T01:09:42.000Z
81.23,2020-03-28T01:14:42.000Z
80.92,2020-03-28T01:19:42.000Z
79.10,2020-03-28T01:24:42.000Z
78.47,2020-03-28T01:29:42.000Z
79.20,2020-03-28T01:34:42.000Z
80.89,2020-03-28T01:39:42.000Z
83.69,2020-03-28T01:44:42.000Z
83.17,2020-03-28T01:49:42.000Z
81.66,2020-03-28T01:54:42.000Z
81.14,2020-03-28T01:59:42.000Z
82.59,2020-03-28T02:04:42.000Z
85.12,2020-03-28T02:09:42.000Z
83.46,2020-03-28T02:14:42.000Z
83.56,2020-03-28T02:19:42.000Z
82.56,2020-03-28T02:24:42.000Z
81.42,2020-03-28T02:29:43.000Z
82.56,2020-03-28T02:34:43.000Z
84.01,2020-03-28T02:39:43.000Z
84.58,2020-03-28T02:44:43.000Z
86.13,2020-03-28T02:49:43.000Z
86.86,2020-03-28T02:54:43.000Z
87.48,2020-03-28T02:59:43.000Z
85.96,2020-03-28T03:04:43.000Z
85.96,2020-03-28T03:09:43.000Z
85.65,2020-03-28T03:14:43.000Z
86.38,2020-03-28T03:19:43.000Z
87.35,2020-03-28T03:24:43.000Z
87.56,2020-03-28T03:29:43.000Z
86.94,2020-03-28T03:34:43.000Z
87.15,2020-03-28T03:39:43.000Z
87.60,2020-03-28T03:44:43.000Z
86.67,2020-03-28T03:49:43.000Z
85.21,2020-03-28T03:54:43.000Z
86.35,2020-03-28T03:59:43.000Z
85.25,2020-03-28T04:04:43.000Z
86.40,2020-03-28T04:09:43.000Z
87.02,2020-03-28T04:14:43.000Z
87.96,2020-03-28T04:19:43.000Z
86.96,2020-03-28T04:24:44.000Z
87.16,2020-03-28T04:29:44.000Z
88.31,2020-03-28T04:34:44.000Z
88.62,2020-03-28T04:39:44.000Z
88.24,2020-03-28T04:44:44.000Z
88.45,2020-03-28T04:49:44.000Z
88.87,2020-03-28T04:54:44.000Z
88.87,2020-03-28T04:59:44.000Z
88.39,2020-03-28T05:04:44.000Z
89.54,2020-03-28T05:09:44.000Z
89.32,2020-03-28T05:14:44.000Z
89.75,2020-03-28T05:19:44.000Z
89.68,2020-03-28T05:24:44.000Z
89.58,2020-03-28T05:29:44.000Z
89.37,2020-03-28T05:34:44.000Z
90.31,2020-03-28T05:39:44.000Z
90.56,2020-03-28T05:44:44.000Z
89.51,2020-03-28T05:49:44.000Z
89.62,2020-03-28T05:54:44.000Z
90.14,2020-03-28T05:59:44.000Z
90.77,2020-03-28T06:04:44.000Z
90.81,2020-03-28T06:09:44.000Z
90.81,2020-03-28T06:14:44.000Z
90.08,2020-03-28T06:19:44.000Z
90.39,2020-03-28T06:24:44.000Z
90.39,2020-03-28T06:29:45.000Z
90.50,2020-03-28T06:34:45.000Z
90.81,2020-03-28T06:39:45.000Z
91.02,2020-03-28T06:44:45.000Z
91.12,2020-03-28T06:49:45.000Z
90.97,2020-03-28T06:54:45.000Z
91.18,2020-03-28T06:59:45.000Z
92.02,2020-03-28T07:04:45.000Z
92.91,2020-03-28T07:09:45.000Z
93.12,2020-03-28T07:14:45.000Z
92.97,2020-03-28T07:19:45.000Z
93.40,2020-03-28T07:24:45.000Z
92.83,2020-03-28T07:29:45.000Z
92.68,2020-03-28T07:34:45.000Z
91.96,2020-03-28T07:39:45.000Z
91.28,2020-03-28T07:44:45.000Z
91.46,2020-03-28T07:49:45.000Z
90.58,2020-03-28T07:54:45.000Z
90.33,2020-03-28T07:59:45.000Z
89.15,2020-03-28T08:04:45.000Z
