value, createdAt
43.31,2019-09-11T10:36:05.000Z
45.23,2019-09-11T10:37:05.000Z
44.55,2019-09-11T10:38:05.000Z
44.17,2019-09-11T10:39:05.000Z
46.17,2019-09-11T10:40:05.000Z
47.52,2019-09-11T10:41:05.000Z
47.86,2019-09-11T10:42:05.000Z
47.56,2019-09-11T10:43:05.000Z
48.26,2019-09-11T10:44:06.000Z
45.79,2019-09-11T10:45:06.000Z
47.92,2019-09-11T10:46:06.000Z
42.77,2019-09-11T10:47:06.000Z
42.85,2019-09-11T10:48:06.000Z
41.79,2019-09-11T10:49:06.000Z
40.68,2019-09-11T10:50:06.000Z
40.03,2019-09-11T10:51:06.000Z
39.79,2019-09-11T10:52:06.000Z
38.76,2019-09-11T10:53:06.000Z
38.44,2019-09-11T10:54:06.000Z
36.92,2019-09-11T10:55:06.000Z
38.39,2019-09-11T10:56:07.000Z
35.82,2019-09-11T10:57:07.000Z
36.29,2019-09-11T10:58:07.000Z
36.37,2019-09-11T10:59:07.000Z
36.29,2019-09-11T11:00:07.000Z
36.29,2019-09-11T11:01:07.000Z
34.61,2019-09-11T11:02:07.000Z
34.41,2019-09-11T11:03:07.000Z
34.99,2019-09-11T11:04:07.000Z
35.76,2019-09-11T11:05:07.000Z
36.97,2019-09-11T11:06:07.000Z
34.69,2019-09-11T11:07:08.000Z
36.24,2019-09-11T11:08:08.000Z
35.76,2019-09-11T11:09:08.000Z
35.09,2019-09-11T11:10:08.000Z
35.57,2019-09-11T11:11:08.000Z
35.27,2019-09-11T11:12:08.000Z
34.05,2019-09-11T11:13:08.000Z
32.87,2019-09-11T11:14:08.000Z
33.15,2019-09-11T11:15:08.000Z
33.03,2019-09-11T11:16:08.000Z
32.72,2019-09-11T11:17:08.000Z
34.59,2019-09-11T11:18:08.000Z
33.04,2019-09-11T11:19:09.000Z
33.47,2019-09-11T11:20:09.000Z
34.88,2019-09-11T11:21:09.000Z
36.39,2019-09-11T11:22:09.000Z
34.61,2019-09-11T11:23:09.000Z
37.40,2019-09-11T11:24:09.000Z
36.36,2019-09-11T11:25:09.000Z
35.52,2019-09-11T11:26:09.000Z
38.64,2019-09-11T11:27:09.000Z
38.43,2019-09-11T11:28:09.000Z
38.93,2019-09-11T11:29:09.000Z
38.60,2019-09-11T11:30:10.000Z
36.77,2019-09-11T11:31:10.000Z
36.56,2019-09-11T11:32:10.000Z
36.03,2019-09-11T11:33:10.000Z
33.82,2019-09-11T11:34:10.000Z
33.69,2019-09-11T11:35:10.000Z
35.47,2019-09-11T11:36:10.000Z
33.77,2019-09-11T11:37:10.000Z
