sensorID,value,timestamp,longitude,latitude,hight
5d5d1209953683001a3f93f9,57.06,2020-08-24T09:12:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.22,2020-08-24T09:17:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.08,2020-08-24T09:22:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.24,2020-08-24T09:27:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.47,2020-08-24T09:32:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.70,2020-08-24T09:37:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.90,2020-08-24T09:42:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.80,2020-08-24T09:47:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.04,2020-08-24T09:52:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.61,2020-08-24T09:57:06.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.27,2020-08-24T10:02:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.04,2020-08-24T10:07:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.53,2020-08-24T10:12:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.90,2020-08-24T10:17:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,57.97,2020-08-24T10:22:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,57.46,2020-08-24T10:27:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,57.37,2020-08-24T10:32:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.43,2020-08-24T10:37:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.10,2020-08-24T10:42:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.35,2020-08-24T10:47:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.50,2020-08-24T10:52:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.02,2020-08-24T10:57:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.55,2020-08-24T11:02:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,57.11,2020-08-24T11:07:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.04,2020-08-24T11:12:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.54,2020-08-24T11:17:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.94,2020-08-24T11:22:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.01,2020-08-24T11:27:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.79,2020-08-24T11:32:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.18,2020-08-24T11:37:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.09,2020-08-24T11:42:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.49,2020-08-24T11:47:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.46,2020-08-24T11:52:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.06,2020-08-24T11:57:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.66,2020-08-24T12:02:07.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.52,2020-08-24T12:07:08.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.25,2020-08-24T12:12:08.000Z,8.71,51.75,102.00
