value,createdAt
18.66,2019-09-05T16:13:23.000Z
18.68,2019-09-05T16:12:53.000Z
18.68,2019-09-05T16:12:22.000Z
18.70,2019-09-05T16:11:52.000Z
18.71,2019-09-05T16:11:22.000Z
18.70,2019-09-05T16:10:52.000Z
18.70,2019-09-05T16:10:22.000Z
18.70,2019-09-05T16:09:52.000Z
18.71,2019-09-05T16:09:22.000Z
18.70,2019-09-05T16:08:52.000Z
18.70,2019-09-05T16:08:22.000Z
18.68,2019-09-05T16:07:51.000Z
18.70,2019-09-05T16:07:21.000Z
18.70,2019-09-05T16:06:51.000Z
18.68,2019-09-05T16:06:21.000Z
18.68,2019-09-05T16:05:51.000Z
18.70,2019-09-05T16:05:21.000Z
18.70,2019-09-05T16:04:51.000Z
18.70,2019-09-05T16:04:21.000Z
18.70,2019-09-05T16:03:51.000Z
18.70,2019-09-05T16:03:20.000Z
18.68,2019-09-05T16:02:50.000Z
18.68,2019-09-05T16:02:20.000Z
18.68,2019-09-05T16:01:50.000Z
18.66,2019-09-05T16:01:20.000Z
18.66,2019-09-05T16:00:50.000Z
18.65,2019-09-05T16:00:20.000Z
18.65,2019-09-05T15:59:50.000Z
18.65,2019-09-05T15:59:20.000Z
18.63,2019-09-05T15:58:49.000Z
18.63,2019-09-05T15:58:19.000Z
18.62,2019-09-05T15:57:49.000Z
18.63,2019-09-05T15:57:19.000Z
18.62,2019-09-05T15:56:49.000Z
18.62,2019-09-05T15:56:19.000Z
18.62,2019-09-05T15:55:49.000Z
18.62,2019-09-05T15:55:19.000Z
18.63,2019-09-05T15:54:49.000Z
18.62,2019-09-05T15:54:18.000Z
18.63,2019-09-05T15:53:48.000Z
18.62,2019-09-05T15:53:18.000Z
18.65,2019-09-05T15:52:48.000Z
18.63,2019-09-05T15:52:18.000Z
18.62,2019-09-05T15:51:48.000Z
18.62,2019-09-05T15:51:18.000Z
18.63,2019-09-05T15:50:48.000Z
18.62,2019-09-05T15:50:18.000Z
18.62,2019-09-05T15:49:48.000Z
18.62,2019-09-05T15:49:17.000Z
18.62,2019-09-05T15:48:47.000Z
18.62,2019-09-05T15:48:17.000Z
18.62,2019-09-05T15:47:47.000Z
18.62,2019-09-05T15:47:17.000Z
18.62,2019-09-05T15:46:47.000Z
18.60,2019-09-05T15:46:17.000Z
